date_summary,opening,closing,lowest,highest,volume,quantity,amount,avg_price
2013-12-31,1879.00000000,1842.00000000,1823.33000000,1889.00000000,16640.07643379,8.94741640,54,1859.76327577
2014-01-01,1849.00000000,1879.98989000,1841.00000000,1890.00000000,51870.20235672,27.90073062,69,1859.09835348
2014-01-02,1879.98978000,1949.99000000,1842.33000000,1950.00000000,81733.84482650,42.76361820,204,1911.29395144
2014-01-03,1910.00000000,2089.99998999,1889.00000000,2107.99998999,106964.47344984,51.92653923,280,2059.91916726
2014-01-04,2089.99998999,2100.00000000,1990.00000000,2198.99998000,86267.32161610,40.93878034,173,2107.22744790
2014-01-05,2150.00000000,2296.80000000,2106.00000000,2300.00000000,62180.95687394,27.83590533,148,2233.83993215
2014-01-06,2256.00001000,2335.00000000,2240.00000000,2575.00000000,293711.11795304,124.04658446,682,2367.74852956
2014-01-07,2299.99989000,2090.00000000,1900.00000000,2340.00000000,283296.66376870,133.51447128,540,2121.84238181
2014-01-08,2080.00000000,2100.00000000,1950.00000000,2189.89998000,98799.09603466,47.15470441,248,2095.21186212
2014-01-09,2063.08374999,2140.00000000,2012.00000000,2200.00000000,112057.19638407,53.32882951,260,2101.24987579
2014-01-10,2104.09000000,2155.00000000,2083.00000000,2200.00000000,213397.87375379,100.39025171,291,2125.68322241
2014-01-11,2150.10000000,2200.00001000,2102.00000000,2270.00000000,79801.68759443,36.32650597,131,2196.78951948
2014-01-12,2185.00000000,2100.00000000,2086.00000000,2249.99998999,77672.20457284,36.57621648,145,2123.57132715
2014-01-13,2099.00000000,2084.49998999,2030.00002000,2100.00000000,113528.69846529,54.92798491,226,2066.86443442
2014-01-14,2084.00000000,2030.00000000,2000.00000000,2098.99998999,119291.00931651,58.66851765,310,2033.30532447
2014-01-15,2030.00000000,1980.00000000,1937.00000000,2074.99998999,103179.06581938,51.46945770,287,2004.66588206
2014-01-16,2019.99999000,1965.00000000,1940.00000000,2100.00000000,175370.33517367,88.56503103,401,1980.13068063
2014-01-17,1965.00000000,1935.00000000,1859.00001000,1999.99997000,108397.35070877,56.31978634,268,1924.67617072
2014-01-18,1934.99900000,1950.00000000,1930.00000000,2000.00000000,24917.24794271,12.62206562,50,1974.10223436
2014-01-19,1950.00000000,1979.90000000,1931.00000000,1998.00000000,18881.30000246,9.57923679,72,1971.06517109
2014-01-20,1979.90000000,1900.00000000,1859.00000000,2000.00000000,118879.06393181,61.38082161,304,1936.74605216
2014-01-21,1899.00000000,1902.01001000,1860.00000000,2089.99100000,209619.25633019,107.42751757,314,1951.26221913
